player_name,real_name,nationality,team,player_status,link,link2,link3,link3,link4
Azazel,Jo?o Pedro,Brazil,Fênix Team,Active,{"twitch_link":"None"\,twitter_link:"https://twitter.com/AzazelI_"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Azee,Ilya Blinkov,Russia,Fênix Team,Active,{"twitch_link":"https://www.twitch.tv/azee__"\,twitter_link:"https://twitter.com/AzeeWasTaken"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Azmaz,Erwan Le D?,France,Fênix Team,Retired,{"twitch_link":"None"\,twitter_link:"https://twitter.com/AzmazFR"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
AZu,,China,Golden Sage,Active,{"twitch_link":"None"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Azzy,Anthony Holmes,United States,Golden Sage,Retired,{"twitch_link":"https://www.twitch.tv/azzy"\,twitter_link:"https://twitter.com/azzybaer"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
B4mbino,Josef Nedorost,Czech Republic,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/b4mbinoo"\,twitter_link:"https://twitter.com/B4mbinoo"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Badoli,Oliver Kurtuldu,Denmark,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/Badoli"\,twitter_link:"https://twitter.com/BadoliOW"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/11514563"}
Baker,Lukas Becker,Germany,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/bakerfps"\,twitter_link:"https://twitter.com/Baker_FPS"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Bakky,,Japan,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/tsu_bakky"\,twitter_link:"https://twitter.com/Tsubakky_apex"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
BallonG,Sebastian Eketrapp,Sweden,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/ballong"\,twitter_link:"https://twitter.com/ballongh1"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/13338515"}
BanterStorm,Aiden Ramsay,Australia,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/banterstorm"\,twitter_link:"https://twitter.com/banterstorm"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
BAPE5,Vladislav Khivrenko,Russia,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/ag_bape5"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Barkadij,Arkadij Kraft,Germany,Vexed Gaming,Active,{"twitch_link":"https://www.twitch.tv/barkadij"\,twitter_link:"https://twitter.com/Baarkadij"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/user/MCafterEffectzoR"\,esl_profile_link:"None"}
Barroth,Thanasak Nusing,Thailand,Overclock Esport,Active,{"twitch_link":"None"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Bastiaan,Muhammad Arie Rafly,Indonesia,Method2Madness,Active,{"twitch_link":"https://www.twitch.tv/bastiaan0z"\,twitter_link:"https://twitter.com/Bastiaan0Z"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCq5fGGV4hQbXnXP3lb04tAw"\,esl_profile_link:"None"}
Bazzi,Jeong Da-un,South Korea,Method3Madness,Retired,{"twitch_link":"https://www.twitch.tv/ctu_bazzi"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UC53qaktv2Mm-DEA8JoC25xg/featured"\,esl_profile_link:"None"}
